feature,mean_abs_shap
info_ratio,0.02663490906918181
sharpe,0.020730214683303227
alpha_annual,0.01608664563510521
tracking_error,0.013967925302113902
fii_flow,0.013272558160060073
fund_age,0.010068351436018032
log_aum,0.00930547464985375
repo_rate,0.007835394549726975
expense_gap,0.007722842604931373
portfolio_turnover,0.007207488317955382
beta,0.006318825741548486
yield_slope,0.006308154964880193
max_drawdown,0.004581983290970626
fund_manager_tenure,0.004150244398668253
expense_ratio_regular,0.0031444640035687386
dii_flow,0.0031115139540598487
volatility,0.0026535840149344257
cpi_inflation,0.002407258329838763
